inpNum,repNum,Vf_IQR,Vf_Mdn,nFC,nMRC,FCp,MRCp,av_FCa,av_MRCa,max_FC,max_MRC,Stiffness,Strength
766,1,0.205158907745955,0.710726802868821,0.00748129675810474,0.0149625935162095,0.391392021998339,0.355009203183614,1639.08161469866,743.358353366682,4416.23996442017,3821.88765880701,NaN,NaN
767,17,0.302902375991692,0.574550475492698,0.0183823529411765,0.0147058823529412,0.0592254772107608,0.578676791266576,136.897118810036,1671.98284373294,282.764769543797,4786.38050953955,12027.9511927245,46.1873325800623
768,1,0.259230220430339,0.61343612785281,0.014336917562724,0.03584229390681,0.0796665311825643,0.491714408543705,215.524096085774,532.099499554597,365.826722762335,3998.80202392024,NaN,NaN
769,3,0.262017605211188,0.598443879020307,0.0107913669064748,0.0143884892086331,0.0569692030455923,0.514613295309294,217.466260040083,1473.30956089011,481.480134374263,5652.14346520508,13070.9221572479,53.3293624015715
770,14,0.195873233712692,0.691005591736711,0.01,0.01,0.338977943709607,0.382275680143625,1066.77025176657,1203.02907937987,2444.41749672253,4612.31875611488,14749.0298712715,40.7073224447092
771,7,0.230020351710401,0.64043827700951,0.0141643059490085,0.0056657223796034,0.12370038615207,0.51059844216972,316.245989131024,3263.42371304758,794.950561399539,6461.86487453891,13494.3022457543,50.1914345115968
772,6,0.225599546180524,0.703449371531094,0.00583090379008746,0.0174927113702624,0.354486455297353,0.393999312065058,2047.77816740185,758.677966544955,4047.29725226653,1726.54202701936,15039.6904604679,50.5333599471721
773,44,0.224889681266331,0.697639830934254,0.0111111111111111,0.0111111111111111,0.304774413275952,0.437231838113736,921.113314383396,1321.43661021254,2716.64163682794,4535.73577626826,14374.3550577056,50.0227556008156
774,4,0.257299458975244,0.619350964850143,0.0156739811912226,0.0125391849529781,0.145043886068684,0.509613497637887,370.602253416905,1627.64453327972,1073.22880629572,6394.92380355521,13226.8471323051,46.0294280204217
775,7,0.2135048668211,0.689739643403628,0.011142061281337,0.011142061281337,0.353707919572602,0.424938676861604,1099.1713289349,1320.5257341317,3633.09951336409,5162.4519765291,14585.6961051894,50.758222446059
776,30,0.345099465813629,0.560498121241638,0.016597510373444,0.012448132780083,0.0367620259074895,0.627195141258796,107.468806512882,2444.69346172165,184.077824463091,4611.29048879752,11762.9215492678,46.5811693351004
777,2,0.192760858432071,0.694736633942789,0.0075,0.01,0.361338879267151,0.393196373242934,1592.68274041591,1299.82638152914,3647.30680883582,4916.04731230857,14821.7810523804,53.3584117885694
778,39,0.199168494405293,0.708836243572695,0.00253807106598985,0.00761421319796954,0.363363620633062,0.353139358064459,4608.22025018614,1492.8516492058,4608.22025018614,3302.56582172027,15457.2176020089,46.3716528060267
779,8,0.21561795279388,0.685049480799082,0.0166666666666667,0.0111111111111111,0.323143637511504,0.452517586131549,659.571132915555,1385.45604323575,2586.70186791426,4223.23534810555,14631.5982474303,47.4063783216741
780,41,0.209389452163951,0.688700235309608,0.0164835164835165,0.0137362637362637,0.295840482171396,0.401192625165778,606.711541235157,987.322062862871,1515.26397017421,4557.05115498773,14478.4067747733,50.3762861419162
781,21,0.189283432478176,0.696774404732926,0.0165289256198347,0.0137741046831956,0.345429054101422,0.369099546808865,674.839700637587,865.29963145774,3402.52707947967,4138.92651534888,15369.6688783242,49.7977271657703
782,19,0.304040484070888,0.57156533968731,0.0213523131672598,0.0106761565836299,0.0521914362875708,0.602171833139117,106.642180147912,2460.82199216706,210.666062083619,7041.01801935131,11917.6405131521,52.9143238783953
783,22,0.316399807909382,0.551826500568537,0.0109090909090909,0.0109090909090909,0.070244963231314,0.597959643790899,293.641123397804,2499.61753088423,459.68203269387,6672.74140869315,11881.8002910673,49.9035612224828
784,5,0.232262417681197,0.641912222743676,0.0189873417721519,0.0221518987341772,0.145460570967401,0.474230674712071,278.464997625584,778.158700598401,704.475975650687,3929.74478030768,14062.970597293,53.9931374177644
785,46,0.196370784308311,0.722686252442149,0.00753768844221105,0.0125628140703518,0.440294194531501,0.340538684995012,1791.4930139027,831.361416129499,5064.50490611509,3984.70025954547,15702.3793760548,48.9914236532909
787,47,0.333129377085958,0.582913651359502,0.0141843971631206,0.00709219858156028,0.0665640462229447,0.619633370544902,209.689361391344,3903.92511089686,596.814963429943,7782.59962064461,11691.7428948899,44.8962927163771
788,21,0.253914916279119,0.610417800700374,0.0155763239875389,0.0124610591900312,0.0910566559399029,0.481602324937221,221.924345285357,1467.20851356735,761.728807595567,2856.71594200789,13619.4536719745,47.3864038195279
789,30,0.192814888061692,0.713316112196566,0.0201511335012594,0.0125944584382872,0.35871379604557,0.330743293545978,570.826859538158,842.107140118687,2078.78457687647,3675.04740053271,15534.9060068714,46.6047180206142
790,38,0.292289754533391,0.584442149704497,0.0145454545454545,0.0109090909090909,0.0776748272972012,0.538183501021483,218.083048437779,2014.70158961714,510.840419915812,5233.17230321667,12237.0224906672,51.3954944608022
791,21,0.328572633386647,0.555228401730955,0.0174216027874564,0.00348432055749129,0.0799011087252597,0.64833936637557,213.463575775592,8660.50807495606,668.341974602778,8660.50807495606,11566.5009313606,49.9672840234778
792,31,0.31522314296277,0.556875486892322,0.00813008130081301,0.016260162601626,0.0494191463990403,0.645746324465306,293.127465526364,1915.10777963534,523.383780945168,7465.04030145522,11690.9091277593,47.6989092412577
793,20,0.191322001851615,0.70950660865992,0.0025062656641604,0.0075187969924812,0.417436913621985,0.36841467530704,5326.77242328751,1567.0720283074,5326.77242328751,4621.33908700844,15165.9374066008,52.7698890512697
794,16,0.22356327785859,0.675223298171807,0.0198300283286119,0.0226628895184136,0.258051790673942,0.419859676324664,443.147597851181,630.890143013287,2188.03442619386,4313.27987908771,14354.8715581155,44.7871992613205
795,15,0.209674291879429,0.716369205302192,0.0139275766016713,0.011142061281337,0.358578740482534,0.404510649121606,899.427820618135,1268.29929692247,2294.25367826993,4692.83831956847,14621.0175207545,52.6356630747163
796,32,0.232103156090026,0.679572988569074,0.0168067226890756,0.0140056022408964,0.247479812644679,0.405417396201392,498.737485948493,980.428346605738,1773.5757664243,4367.27484266372,14230.8103207515,56.3469784060982
797,8,0.249933682039666,0.680291341349993,0.0198863636363636,0.0113636363636364,0.23670702525009,0.49883336658947,421.853312757388,1555.7645109091,877.08610238966,5257.99774041142,14074.9072153848,50.6696659753853
